Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 2527,urban 4977,Undirected,11104,,,1,(urban 2527),none,(urban 4977),9.9,0,default,urbanangrycollectives,0,true
urban 2652,urban 4782,Undirected,11105,,,1,(urban 2652),none,(urban 4782),9.9,0,default,urbanangrycollectives,0,true
urban 332,urban 5109,Undirected,11106,,,1,(urban 332),none,(urban 5109),9.9,0,default,urbanangrycollectives,0,true
urban 2310,urban 2602,Undirected,11107,,,1,(urban 2310),none,(urban 2602),9.9,0,default,urbanangrycollectives,0,true
urban 2048,urban 3628,Undirected,11108,,,1,(urban 2048),none,(urban 3628),9.9,0,default,urbanangrycollectives,0,true
urban 1366,urban 1867,Undirected,11109,,,1,(urban 1366),none,(urban 1867),9.9,0,default,urbanangrycollectives,0,true
urban 725,urban 1130,Undirected,11110,,,1,(urban 725),none,(urban 1130),9.9,0,default,urbanangrycollectives,0,true
urban 988,urban 5878,Undirected,11111,,,1,(urban 988),none,(urban 5878),9.9,0,default,urbanangrycollectives,0,true
urban 3086,urban 4953,Undirected,11112,,,1,(urban 3086),none,(urban 4953),9.9,0,default,urbanangrycollectives,0,true
urban 683,urban 3047,Undirected,11113,,,1,(urban 683),none,(urban 3047),9.9,0,default,urbanangrycollectives,0,true
urban 2081,urban 3654,Undirected,11114,,,1,(urban 2081),none,(urban 3654),9.9,0,default,urbanangrycollectives,0,true
urban 4572,urban 4688,Undirected,11115,,,1,(urban 4572),none,(urban 4688),9.9,0,default,urbanangrycollectives,0,true
urban 531,urban 4541,Undirected,11116,,,1,(urban 531),none,(urban 4541),9.9,0,default,urbanangrycollectives,0,true
urban 1608,urban 4638,Undirected,11117,,,1,(urban 1608),none,(urban 4638),9.9,0,default,urbanangrycollectives,0,true
urban 4335,urban 5928,Undirected,11118,,,1,(urban 4335),none,(urban 5928),9.9,0,default,urbanangrycollectives,0,true
urban 1331,urban 2840,Undirected,11119,,,1,(urban 1331),none,(urban 2840),9.9,0,default,urbanangrycollectives,0,true
urban 4856,urban 5776,Undirected,11120,,,1,(urban 4856),none,(urban 5776),9.9,0,default,urbanangrycollectives,0,true
urban 772,urban 4333,Undirected,11121,,,1,(urban 772),none,(urban 4333),9.9,0,default,urbanangrycollectives,0,true
urban 547,urban 1798,Undirected,11122,,,1,(urban 547),none,(urban 1798),9.9,0,default,urbanangrycollectives,0,true
urban 469,urban 3829,Undirected,11123,,,1,(urban 469),none,(urban 3829),9.9,0,default,urbanangrycollectives,0,true
urban 1977,urban 3544,Undirected,11124,,,1,(urban 1977),none,(urban 3544),9.9,0,default,urbanangrycollectives,0,true
urban 872,urban 4354,Undirected,11125,,,1,(urban 872),none,(urban 4354),9.9,0,default,urbanangrycollectives,0,true
urban 3235,urban 4056,Undirected,11126,,,1,(urban 3235),none,(urban 4056),9.9,0,default,urbanangrycollectives,0,true
urban 4205,urban 6376,Undirected,11127,,,1,(urban 4205),none,(urban 6376),9.9,0,default,urbanangrycollectives,0,true
urban 847,urban 1122,Undirected,11128,,,1,(urban 847),none,(urban 1122),9.9,0,default,urbanangrycollectives,0,true
urban 3459,urban 4503,Undirected,11129,,,1,(urban 3459),none,(urban 4503),9.9,0,default,urbanangrycollectives,0,true
urban 2997,urban 5651,Undirected,11130,,,1,(urban 2997),none,(urban 5651),9.9,0,default,urbanangrycollectives,0,true
urban 201,urban 5221,Undirected,11131,,,1,(urban 201),none,(urban 5221),9.9,0,default,urbanangrycollectives,0,true
urban 3217,urban 3628,Undirected,11132,,,1,(urban 3217),none,(urban 3628),9.9,0,default,urbanangrycollectives,0,true
urban 5736,urban 5760,Undirected,11133,,,1,(urban 5736),none,(urban 5760),9.9,0,default,urbanangrycollectives,0,true
urban 3217,urban 4215,Undirected,11134,,,1,(urban 3217),none,(urban 4215),9.9,0,default,urbanangrycollectives,0,true
urban 2426,urban 5136,Undirected,11135,,,1,(urban 2426),none,(urban 5136),9.9,0,default,urbanangrycollectives,0,true
urban 2046,urban 2438,Undirected,11136,,,1,(urban 2046),none,(urban 2438),9.9,0,default,urbanangrycollectives,0,true
urban 3077,urban 3369,Undirected,11137,,,1,(urban 3077),none,(urban 3369),9.9,0,default,urbanangrycollectives,0,true
urban 993,urban 2101,Undirected,11138,,,1,(urban 993),none,(urban 2101),9.9,0,default,urbanangrycollectives,0,true
urban 872,urban 2221,Undirected,11139,,,1,(urban 872),none,(urban 2221),9.9,0,default,urbanangrycollectives,0,true
urban 1289,urban 5568,Undirected,11140,,,1,(urban 1289),none,(urban 5568),9.9,0,default,urbanangrycollectives,0,true
urban 1790,urban 3970,Undirected,11141,,,1,(urban 1790),none,(urban 3970),9.9,0,default,urbanangrycollectives,0,true
urban 1408,urban 4604,Undirected,11142,,,1,(urban 1408),none,(urban 4604),9.9,0,default,urbanangrycollectives,0,true
urban 148,urban 2547,Undirected,11143,,,1,(urban 148),none,(urban 2547),9.9,0,default,urbanangrycollectives,0,true
urban 1957,urban 3972,Undirected,11144,,,1,(urban 1957),none,(urban 3972),9.9,0,default,urbanangrycollectives,0,true
urban 158,urban 2852,Undirected,11145,,,1,(urban 158),none,(urban 2852),9.9,0,default,urbanangrycollectives,0,true
urban 5594,urban 6109,Undirected,11146,,,1,(urban 5594),none,(urban 6109),9.9,0,default,urbanangrycollectives,0,true
urban 1252,urban 3252,Undirected,11147,,,1,(urban 1252),none,(urban 3252),9.9,0,default,urbanangrycollectives,0,true
urban 262,urban 695,Undirected,11148,,,1,(urban 262),none,(urban 695),9.9,0,default,urbanangrycollectives,0,true
urban 2331,urban 4165,Undirected,11149,,,1,(urban 2331),none,(urban 4165),9.9,0,default,urbanangrycollectives,0,true
urban 362,urban 4182,Undirected,11150,,,1,(urban 362),none,(urban 4182),9.9,0,default,urbanangrycollectives,0,true
urban 5245,urban 5481,Undirected,11151,,,1,(urban 5245),none,(urban 5481),9.9,0,default,urbanangrycollectives,0,true
urban 4403,urban 5186,Undirected,11152,,,1,(urban 4403),none,(urban 5186),9.9,0,default,urbanangrycollectives,0,true
urban 3104,urban 5882,Undirected,11153,,,1,(urban 3104),none,(urban 5882),9.9,0,default,urbanangrycollectives,0,true
urban 2715,urban 5324,Undirected,11154,,,1,(urban 2715),none,(urban 5324),9.9,0,default,urbanangrycollectives,0,true
urban 3071,urban 3545,Undirected,11155,,,1,(urban 3071),none,(urban 3545),9.9,0,default,urbanangrycollectives,0,true
urban 5610,urban 6032,Undirected,11156,,,1,(urban 5610),none,(urban 6032),9.9,0,default,urbanangrycollectives,0,true
urban 3942,urban 5557,Undirected,11157,,,1,(urban 3942),none,(urban 5557),9.9,0,default,urbanangrycollectives,0,true
urban 4782,urban 4946,Undirected,11158,,,1,(urban 4782),none,(urban 4946),9.9,0,default,urbanangrycollectives,0,true
urban 2783,urban 5521,Undirected,11159,,,1,(urban 2783),none,(urban 5521),9.9,0,default,urbanangrycollectives,0,true
urban 2904,urban 6000,Undirected,11160,,,1,(urban 2904),none,(urban 6000),9.9,0,default,urbanangrycollectives,0,true
urban 1563,urban 2396,Undirected,11161,,,1,(urban 1563),none,(urban 2396),9.9,0,default,urbanangrycollectives,0,true
urban 2590,urban 3047,Undirected,11162,,,1,(urban 2590),none,(urban 3047),9.9,0,default,urbanangrycollectives,0,true
urban 5422,urban 5638,Undirected,11163,,,1,(urban 5422),none,(urban 5638),9.9,0,default,urbanangrycollectives,0,true
urban 3127,urban 4781,Undirected,11164,,,1,(urban 3127),none,(urban 4781),9.9,0,default,urbanangrycollectives,0,true
urban 763,urban 2259,Undirected,11165,,,1,(urban 763),none,(urban 2259),9.9,0,default,urbanangrycollectives,0,true
